CTE;Status;Empresa A;Empresa B;Motorista A;Motorista B;Dif Empresa;Dif Motorista;Maior Diferença;Margem B;Página A;Página B
1993;OK por arredondamento;13235.4;13235.4;13745.21;13744.96;0.0;0.25;0.25;;4.0;11.0
1994;OK por arredondamento;12757.5;12757.5;13248.9;13248.66;0.0;0.24;0.24;;4.0;11.0
1995;OK por arredondamento;13329.9;13329.9;13843.35;13843.1;0.0;0.25;0.25;;4.0;11.0
1996;OK por arredondamento;13402.8;13402.8;13919.06;13918.81;0.0;0.25;0.25;;4.0;11.0
1997;OK por arredondamento;12436.2;12436.2;12915.22;12914.99;0.0;0.23;0.23;;4.0;12.0
1998;OK por arredondamento;13572.9;13572.9;14095.71;14095.46;0.0;0.25;0.25;;4.0;12.0
1999;OK por arredondamento;13230.0;13230.0;13739.6;13739.36;0.0;0.24;0.24;;4.0;12.0
2000;OK;12854.4;12854.4;13349.29;13349.29;0.0;0.0;0.0;;4.0;12.0
2001;OK;21700.8;21700.8;22536.28;22536.28;0.0;0.0;0.0;;4.0;12.0
2002;OK;12096.0;12096.0;12561.7;12561.7;0.0;0.0;0.0;;4.0;12.0
2003;OK;21480.8;21480.8;22307.81;22307.81;0.0;0.0;0.0;;4.0;12.0
2004;OK por arredondamento;13394.7;13394.7;13910.64;13910.4;0.0;0.24;0.24;;4.0;12.0
2005;OK por arredondamento;16888.5;16888.5;17538.52;17538.71;0.0;-0.19;0.19;;4.0;12.0
2006;OK;12719.2;12719.2;13208.89;13208.89;0.0;0.0;0.0;;4.0;12.0
2007;OK por arredondamento;12935.7;12935.7;13433.96;13433.72;0.0;0.24;0.24;;4.0;12.0
2009;OK;12141.6;12141.6;12609.05;12609.05;0.0;0.0;0.0;;4.0;12.0
2010;OK;13996.8;13996.8;14535.68;14535.68;0.0;0.0;0.0;;4.0;12.0
2011;OK;12206.4;12206.4;12676.35;12676.35;0.0;0.0;0.0;;4.0;12.0
2012;OK;12165.6;12165.6;12633.98;12633.98;0.0;0.0;0.0;;4.0;12.0
